text,urgency,request_type
"Температура 41 у ребёнка, судороги начались, не сбивается жаропонижающим.",Экстренное,Вызов врача
Плановое удаление родинки — запись к дерматологу. Как быть?,Плановое,Запись на прием
Добрый день! После инфаркта — плановая кардиореабилитация через 3 месяца. Мне 35 лет.,Плановое,Наблюдение
Привет! Почечная недостаточность — плановая нефрологическая консультация. Нужна ваша помощь.,Плановое,Наблюдение
"Острый цистит — жжение нестерпимое, кровь в моче. Мне 52 года.",Срочное,Вызов врача
Хочу просто проконсультироваться у терапевта по результатам анализов. Это опасно?,Консультационное,Запись на прием
Боль в мочевом пузыре постоянная — запишите к урологу быстро. Это опасно?,Срочное,Запись на прием
Запись к наркологу для консультации о зависимости — для друга. Что посоветуете?,Консультационное,Запись на прием
"Мужу плохо после укуса пчелы — сыпь по всему телу, стонет. Очень беспокоюсь.",Экстренное,Вызов врача
"Диабетическая кома — сахар 0.8 по глюкометру, без сознания.",Экстренное,Перенаправление в экстренные службы
Привет! После кесарева сечения — плановый осмотр гинеколога через 2 месяца.,Плановое,Наблюдение
Добрый день! Планирую беременность — хочу пройти обследование заранее. Как быть?,Плановое,Запись на прием
Ожог на ладони от горячей сковороды — пузырь большой. Хронических болезней нет.,Срочное,Вызов врача
Добрый день! Ребёнок на учёте у невролога — плановый осмотр раз в год.,Плановое,Наблюдение
"Анафилаксия после укуса осы, горло отекает, дышать тяжело.",Экстренное,Перенаправление в экстренные службы
"Тромбоз — нога синяя холодная онемевшая, боль нарастает.",Экстренное,Перенаправление в экстренные службы
Помогите пожалуйста. Какие анализы нужно сдать при планировании беременности? Что посоветуете?,Консультационное,Консультация или вопрос
Ожог на ладони от горячей сковороды — пузырь большой.,Срочное,Вызов врача
"Острый цистит — жжение нестерпимое, кровь в моче. Ребёнку 4 года. Это опасно?",Срочное,Вызов врача
Здравствуйте! Хочу проверить давление и сдать анализы — запись к терапевту. Буду благодарен.,Плановое,Запись на прием
"Мужу плохо после укуса пчелы — сыпь по всему телу, стонет. Как быть?",Экстренное,Вызов врача
Здравствуйте! Что делать при первых признаках простуды чтобы не разболеться? Что посоветуете?,Консультационное,Консультация или вопрос
Срочно! Гипертония — плановый визит к кардиологу раз в квартал. Мужу 68 лет.,Плановое,Наблюдение
Хроническая мигрень — плановая корректировка лечения у невролога. Что посоветуете?,Плановое,Наблюдение
Можно ли принимать ибупрофен и парацетамол одновременно? Подскажите пожалуйста.,Консультационное,Консультация или вопрос
Можно ли кормящей маме есть острое? Нужна ваша помощь.,Консультационное,Консультация или вопрос
"Зрение ухудшилось за последний месяц, запишите к офтальмологу. Как быть?",Срочное,Запись на прием
Мониторинг МРТ головного мозга через год после лечения. Это опасно?,Плановое,Наблюдение
"Добрый день! Мужу плохо после укуса пчелы — сыпь по всему телу, стонет. Очень беспокоюсь.",Экстренное,Вызов врача
Срочно! Боль при жевании и щелчки в челюсти — к стоматологу или ортодонту? У меня диабет.,Срочное,Запись на прием
"Сыпь по телу ребёнка внезапная, зудит, температура нет. Буду благодарен.",Срочное,Вызов врача
После операции неделю назад — шов разошёлся и гноится. Буду благодарен.,Экстренное,Вызов врача
Здравствуйте! Ребёнок со сколиозом — плановый осмотр ортопеда раз в 6 мес. Это опасно?,Плановое,Наблюдение
"Удар током — муж не двигается, лежит у щитка.",Экстренное,Перенаправление в экстренные службы
Помогите! Нашли повышенный сахар в аптеке — хочу к эндокринологу срочно.,Срочное,Запись на прием
"Добрый день! Передозировка — подруга выпила много таблеток, не реагирует на меня. Хронических болезней нет.",Экстренное,Перенаправление в экстренные службы
"Привет! Анафилаксия после укуса осы, горло отекает, дышать тяжело. Что посоветуете?",Экстренное,Перенаправление в экстренные службы
Срочно! Боль в правом подреберье после жирного — нужно УЗИ и гастроэнтеролог.,Срочное,Запись на прием
Срочно! Опасен ли повышенный пульс 95 ударов в покое?,Консультационное,Консультация или вопрос
Привет! Резкая потеря веса без причины — хочу записаться на обследование. Что посоветуете?,Срочное,Запись на прием
Помогите пожалуйста. Боли в спине отдают в ногу — хочу попасть к неврологу скоро. Я беременна 28 недель.,Срочное,Запись на прием
"Резаная рана на руке, кровь не останавливается уже 20 минут, пульсирует.",Экстренное,Перенаправление в экстренные службы
"Резкое ухудшение зрения на один глаз — пелена, вспышки. Буду благодарен.",Экстренное,Вызов врача
Здравствуйте! Запись к офтальмологу для подбора очков — не срочно.,Плановое,Запись на прием
"Добрый вечер. Ребёнок не ест 2 дня, вялый, температура 37.8, понос.",Срочное,Вызов врача
Хочу узнать какие витамины мне подходят — к терапевту? Что делать?,Консультационное,Запись на прием
"Воспаление после удаления зуба — щека опухла, пульсирует. Хронических болезней нет. Прошу помочь.",Срочное,Вызов врача
После химиотерапии — плановый анализ крови и осмотр. Я беременна 28 недель. Это опасно?,Плановое,Наблюдение
Обострение псориаза — хочу к дерматологу как можно скорее. Мне 52 года. Подскажите пожалуйста.,Срочное,Запись на прием
Добрый день! Хочу обсудить с кардиологом результаты ЭКГ — ничего не понял.,Консультационное,Запись на прием
"Ребёнку 1 год — нужна плановая вакцинация, когда прийти? Ребёнку 4 года. Прошу помочь.",Плановое,Запись на прием
Можно записаться к диетологу чтобы обсудить питание при диабете? Подскажите пожалуйста.,Консультационное,Запись на прием
"Боль в суставе колена острая после тренировки, опухло. Жене 45 лет.",Срочное,Вызов врача
Хочу обсудить возможность лазерной коррекции зрения.,Консультационное,Запись на прием
Срочно! Справка для водительских прав — к какому врачу?,Плановое,Запись на прием
"Добрый день! Температура 41 у ребёнка, судороги начались, не сбивается жаропонижающим. Аллергии нет.",Экстренное,Вызов врача
Нужна консультация нутрициолога по рациону ребёнка. Буду благодарен.,Плановое,Запись на прием
"У меня сильнейшая боль в груди отдаёт в руку, потею, тошнит. Это инфаркт? Как быть?",Экстренное,Перенаправление в экстренные службы
Хочу пройти профилактический чекап — с чего начать? У меня диабет. Это опасно?,Плановое,Запись на прием
Помогите пожалуйста. Хочу получить направление к специалисту от терапевта.,Консультационное,Запись на прием
Почечная недостаточность — плановая нефрологическая консультация. Как быть?,Плановое,Наблюдение
Добрый вечер. Нужно ли давать ребёнку витамин Д зимой?,Консультационное,Консультация или вопрос
"Здравствуйте! Бабушка 82 года упала, ушиб бедра, ходит с трудом. Прошу помочь.",Срочное,Вызов врача
Контрольное УЗИ щитовидки через 6 месяцев после лечения. Я беременна 28 недель. Буду благодарен.,Плановое,Наблюдение
"Помогите! Острый цистит — жжение нестерпимое, кровь в моче.",Срочное,Вызов врача
Добрый вечер. Сахарный диабет — плановая консультация эндокринолога. Бабушке 75.,Плановое,Наблюдение
Срочно! Ожог на ладони от горячей сковороды — пузырь большой. Мужу 68 лет.,Срочное,Вызов врача
Здравствуйте! Что значит повышенный холестерин в анализе крови?,Консультационное,Консультация или вопрос
Отравление — рвота после ужина в кафе у всей семьи.,Срочное,Вызов врача
"Ребёнку 1 год — нужна плановая вакцинация, когда прийти? У меня диабет. Нужна ваша помощь.",Плановое,Запись на прием
"Диабетическая кома — сахар 0.8 по глюкометру, без сознания.",Экстренное,Перенаправление в экстренные службы
Добрый вечер. Хочу пройти флюорографию — куда обратиться?,Плановое,Запись на прием
"Кожная сыпь не проходит 2 недели, зудит — запись к дерматологу.",Срочное,Запись на прием
Срочно! Почечная недостаточность — плановая нефрологическая консультация.,Плановое,Наблюдение
"Здравствуйте! Ребёнок порезал ладонь глубоко, наложили повязку, кровит.",Срочное,Вызов врача
У меня низкий гемоглобин — что есть чтобы поднять? Бабушке 75. Подскажите пожалуйста.,Консультационное,Консультация или вопрос
Сильные головные боли каждый день последнюю неделю — к неврологу. Буду благодарен.,Срочное,Запись на прием
Какая норма давления для мужчины 50 лет?,Консультационное,Консультация или вопрос
Помогите пожалуйста. Можно ли кормящей маме есть острое? Жене 45 лет.,Консультационное,Консультация или вопрос
Запишите на консультацию по питанию ребёнка к педиатру. Это опасно?,Консультационное,Запись на прием
Давно не был у стоматолога — хочу плановый осмотр.,Плановое,Запись на прием
У мамы давление нестабильное — запишите к кардиологу. Прошу помочь.,Срочное,Запись на прием
"Здравствуйте! Бабушка 82 года упала, ушиб бедра, ходит с трудом.",Срочное,Вызов врача
Боли в спине отдают в ногу — хочу попасть к неврологу скоро. Что посоветуете?,Срочное,Запись на прием
Плановое удаление родинки — запись к дерматологу. Мне 52 года.,Плановое,Запись на прием
Хочу поговорить с врачом о снижении дозы антидепрессантов. Нужна ваша помощь.,Консультационное,Запись на прием
Нормально ли что ребёнок 2 года ещё не говорит словами? Это опасно?,Консультационное,Консультация или вопрос
Нужен осмотр проктолога плановый — когда есть запись? Что делать?,Плановое,Запись на прием
Варикоз — плановый осмотр флеболога и УЗИ сосудов. Жене 45 лет. Очень беспокоюсь.,Плановое,Наблюдение
Справка для занятий спортом ребёнку от педиатра. Буду благодарен.,Плановое,Запись на прием
"Помогите! Отец жалуется на онемение лица и руки, речь стала непонятной. Инсульт?",Экстренное,Перенаправление в экстренные службы
"Диабетик — потерял контроль, сахар скачет, плохо соображает.",Экстренное,Вызов врача
Добрый день! Ребёнок с пороком сердца — плановая ЭКГ и осмотр кардиолога.,Плановое,Наблюдение
Запишите на консультацию по питанию ребёнка к педиатру. У меня диабет. Это опасно?,Консультационное,Запись на прием
"Добрый вечер. Огнестрельное ранение случайное на охоте, много крови теряет. Буду благодарен.",Экстренное,Перенаправление в экстренные службы
"Здравствуйте! Сломал палец, деформация явная, посинение нарастает. Что делать?",Экстренное,Вызов врача
Помогите! Слух снизился на одно ухо — нужен ЛОР срочно.,Срочное,Запись на прием
Добрый день! Как долго можно принимать омепразол при изжоге?,Консультационное,Консультация или вопрос
"Здравствуйте! Внезапная слепота на один глаз, сейчас прошло но было минут 10.",Экстренное,Перенаправление в экстренные службы
"После укуса клеща — покраснение расширяется, беспокоит. Прошу помочь.",Срочное,Вызов врача
Привет! Как понять что у ребёнка аллергия а не простуда?,Консультационное,Консультация или вопрос
"Здравствуйте! Сильный понос и рвота уже 6 часов, пил что-то сомнительное. Мне 35 лет.",Срочное,Вызов врача
Добрый вечер. Мочусь с болью и кровью — нужен уролог как можно скорее.,Срочное,Запись на прием
Диабет 2 типа — плановый контроль показателей каждые 3 месяца. Как быть?,Плановое,Наблюдение
Добрый вечер. Хочу записаться к терапевту на следующей неделе для планового осмотра.,Плановое,Запись на прием
"Кашель не проходит уже 3 недели, хочу провериться у терапевта. Как быть?",Срочное,Запись на прием
Добрый вечер. Как долго можно принимать омепразол при изжоге?,Консультационное,Консультация или вопрос
Помогите пожалуйста. Боль в мочевом пузыре постоянная — запишите к урологу быстро.,Срочное,Запись на прием
Хочу получить второе мнение по поставленному диагнозу.,Консультационное,Запись на прием
"Помогите! Малыш 8 мес не мочится 12 часов, плачет непрерывно. Мужу 68 лет.",Экстренное,Вызов врача
Помогите! Нужно ли давать ребёнку витамин Д зимой?,Консультационное,Консультация или вопрос
"Привет! Ребёнок порезал ладонь глубоко, наложили повязку, кровит.",Срочное,Вызов врача
"Острый цистит — жжение нестерпимое, кровь в моче. Хронических болезней нет. Как быть?",Срочное,Вызов врача
Здравствуйте! Ребёнок на учёте у невролога — плановый осмотр раз в год.,Плановое,Наблюдение
Помогите пожалуйста. Обнаружила увеличенный лимфоузел в паху — к какому врачу?,Срочное,Запись на прием
Добрый вечер. Давно не был у стоматолога — хочу плановый осмотр.,Плановое,Запись на прием
Привет! Слух снизился на одно ухо — нужен ЛОР срочно.,Срочное,Запись на прием
Хочу обсудить с кардиологом результаты ЭКГ — ничего не понял. Мужу 68 лет. Нужна ваша помощь.,Консультационное,Запись на прием
Здравствуйте! Ребёнок идёт в первый класс — нужна медкомиссия.,Плановое,Запись на прием
"У ребёнка температура спала, но кашель остался — нужен педиатр. Мужу 68 лет.",Срочное,Запись на прием
"Ребёнок съел ягоды с куста не знаю какие, рвёт, испуган. Очень беспокоюсь.",Экстренное,Вызов врача
Добрый вечер. Беременность 20 недель — плановое УЗИ скрининг. Очень беспокоюсь.,Плановое,Наблюдение
Привет! Задержка менструации 2 месяца не беременна по тесту — к гинекологу.,Срочное,Запись на прием
"Привет! Боль в суставе колена острая после тренировки, опухло. Что делать?",Срочное,Вызов врача
После операции на колене — плановая реабилитационная консультация. Аллергии нет. Прошу помочь.,Плановое,Наблюдение
"Удар током — муж не двигается, лежит у щитка. Что посоветуете?",Экстренное,Перенаправление в экстренные службы
Хочу обсудить возможность лазерной коррекции зрения. Что делать?,Консультационное,Запись на прием
Крапивница по всему телу после приёма нового лекарства. Хронических болезней нет. Что посоветуете?,Экстренное,Вызов врача
"Сильный понос и рвота уже 6 часов, пил что-то сомнительное. Как быть?",Срочное,Вызов врача
"Диабетик — потерял контроль, сахар скачет, плохо соображает. Хронических болезней нет.",Экстренное,Вызов врача
"У ребёнка температура спала, но кашель остался — нужен педиатр.",Срочное,Запись на прием
Добрый день! Нужна консультация генетика — в семье были случаи рака. Хронических болезней нет.,Консультационное,Запись на прием
После инфаркта — плановая кардиореабилитация через 3 месяца. Жене 45 лет.,Плановое,Наблюдение
"Резкое падение давления до 70/40, слабость, почти в обмороке. Что делать?",Экстренное,Вызов врача
"Острый цистит — жжение нестерпимое, кровь в моче. Жене 45 лет.",Срочное,Вызов врача
Отравление — рвота после ужина в кафе у всей семьи. Нужна ваша помощь.,Срочное,Вызов врача
Беременность 20 недель — плановое УЗИ скрининг.,Плановое,Наблюдение
"Острая боль в животе невыносимая, живот твёрдый как доска. Хронических болезней нет. Подскажите пожалуйста.",Экстренное,Перенаправление в экстренные службы
"Ребёнок не ест 2 дня, вялый, температура 37.8, понос.",Срочное,Вызов врача
Нашли повышенный сахар в аптеке — хочу к эндокринологу срочно.,Срочное,Запись на прием
"Мужу плохо после укуса пчелы — сыпь по всему телу, стонет. Бабушке 75. Прошу помочь.",Экстренное,Вызов врача
Гипертония — плановый визит к кардиологу раз в квартал. Нужна ваша помощь.,Плановое,Наблюдение
Добрый день! Хочу проверить давление и сдать анализы — запись к терапевту.,Плановое,Запись на прием
Помогите пожалуйста. Хочу проконсультироваться насчёт прерывистого голодания у врача.,Консультационное,Запись на прием
Справка для занятий спортом ребёнку от педиатра.,Плановое,Запись на прием
Нужна консультация педиатра — ребёнок развивается нормально?,Консультационное,Запись на прием
Ребёнок часто болеет ОРВИ — хотим к иммунологу. Что посоветуете?,Срочное,Запись на прием
Сильное жжение в желудке ночью — гастроэнтеролог нужен быстро. Что посоветуете?,Срочное,Запись на прием
Привет! Пожилая мать упала и сломала бедро судя по всему — кричит от боли.,Экстренное,Перенаправление в экстренные службы
"Срочно! Нашла уплотнение в груди, хочу срочно попасть к маммологу. Что посоветуете?",Срочное,Запись на прием
Частые носовые кровотечения у ребёнка — к ЛОР или гематологу?,Срочное,Запись на прием
"Плановая колоноскопия — мне 50, врач рекомендовал.",Плановое,Запись на прием
"Резкая боль в спине прихватило, не могу разогнуться. Мне 52 года.",Срочное,Вызов врача
Глаукома — плановый контроль внутриглазного давления. Что посоветуете?,Плановое,Наблюдение
Сколько раз в год нужно проверяться у гинеколога? Ребёнку 4 года.,Консультационное,Консультация или вопрос
Нужна справка в санаторий от терапевта и кардиолога. Ребёнку 4 года. Как быть?,Плановое,Запись на прием
"Отец жалуется на онемение лица и руки, речь стала непонятной. Инсульт?",Экстренное,Перенаправление в экстренные службы
Можно ли принимать магний при гипертонии? Что посоветуете?,Консультационное,Консультация или вопрос
После удаления желчного — плановое УЗИ и консультация хирурга.,Плановое,Наблюдение
"Нашли на УЗИ кисту, направили к хирургу — можете записать? Что делать?",Срочное,Запись на прием
Нужна справка в санаторий от терапевта и кардиолога. Подскажите пожалуйста.,Плановое,Запись на прием
"Огнестрельное ранение случайное на охоте, много крови теряет. Прошу помочь.",Экстренное,Перенаправление в экстренные службы
Ожог на ладони от горячей сковороды — пузырь большой. Прошу помочь.,Срочное,Вызов врача
Плановое УЗИ органов брюшной полости — направление нужно?,Плановое,Запись на прием
Добрый день! Мне прислали результаты МРТ — хочу разобраться что значит. У меня диабет.,Консультационное,Запись на прием
После кесарева сечения — плановый осмотр гинеколога через 2 месяца.,Плановое,Наблюдение
"Плановая колоноскопия — мне 50, врач рекомендовал. Бабушке 75.",Плановое,Запись на прием
Хочу записаться к терапевту на следующей неделе для планового осмотра. Как быть?,Плановое,Запись на прием
Как понять что у меня синдром раздражённого кишечника? Очень беспокоюсь.,Консультационное,Консультация или вопрос
Мама жалуется на сильное головокружение и тошноту с утра. Жене 45 лет.,Срочное,Вызов врача
"Резкая головная боль как удар по голове, самая сильная в жизни.",Экстренное,Вызов врача
Помогите пожалуйста. Хочу пройти флюорографию — куда обратиться? Мне 35 лет.,Плановое,Запись на прием
Помогите! Справка для водительских прав — к какому врачу?,Плановое,Запись на прием
Хронический панкреатит — УЗИ и консультация гастроэнтеролога.,Плановое,Наблюдение
Хочу обсудить возможность лазерной коррекции зрения. Очень беспокоюсь.,Консультационное,Запись на прием
Беременность 20 недель — плановое УЗИ скрининг.,Плановое,Наблюдение
Нужна справка для работы — когда можно прийти к терапевту?,Плановое,Запись на прием
"Аллергия на траву — глаза опухли, не могу смотреть на свет. Как быть?",Срочное,Вызов врача
"Муж выпил уксус случайно, в рот не смотрел что пьёт. Что делать срочно? Хронических болезней нет. Это опасно?",Экстренное,Перенаправление в экстренные службы
"После инъекции инсулина муж стал неадекватным, трясётся. Мне 35 лет. Буду благодарен.",Экстренное,Вызов врача
Помогите! Мочусь с болью и кровью — нужен уролог как можно скорее. Как быть?,Срочное,Запись на прием
Запись к сексологу на консультацию — деликатный вопрос. Нужна ваша помощь.,Консультационное,Запись на прием
Здравствуйте! Какие анализы нужно сдать при планировании беременности?,Консультационное,Консультация или вопрос
Срочно! Хочу проконсультироваться насчёт прерывистого голодания у врача.,Консультационное,Запись на прием
Плановое удаление родинки — запись к дерматологу. Что посоветуете?,Плановое,Запись на прием
Хочу узнать какие прививки нужны перед поездкой в Азию. Очень беспокоюсь.,Консультационное,Запись на прием
Контрольный анализ крови после курса лечения антибиотиками. Подскажите пожалуйста.,Плановое,Наблюдение
Добрый вечер. Ребёнок аллергик — плановая консультация аллерголога весной.,Плановое,Наблюдение
"Отец жалуется на онемение лица и руки, речь стала непонятной. Инсульт?",Экстренное,Перенаправление в экстренные службы
"Резкая боль в спине прихватило, не могу разогнуться. Жене 45 лет. Буду благодарен.",Срочное,Вызов врача
Помогите пожалуйста. Хочу обсудить лечение бессонницы без снотворных. Мне 35 лет.,Консультационное,Запись на прием
"Приступ эпилепсии прошёл, но пациент вялый и не в себе.",Срочное,Вызов врача
Ребёнок на учёте у невролога — плановый осмотр раз в год. Буду благодарен.,Плановое,Наблюдение
Отравление — рвота после ужина в кафе у всей семьи. Ребёнку 4 года. Нужна ваша помощь.,Срочное,Вызов врача
Псориаз — плановый визит к дерматологу для оценки ремиссии. Бабушке 75. Что делать?,Плановое,Наблюдение
"Мне 40 лет, хочу пройти полное обследование профилактически. Буду благодарен.",Плановое,Запись на прием
Добрый день! Справка для занятий спортом ребёнку от педиатра.,Плановое,Запись на прием
Хочу проконсультироваться насчёт прерывистого голодания у врача.,Консультационное,Запись на прием
Помогите пожалуйста. Хочу пройти профилактический чекап — с чего начать? Что делать?,Плановое,Запись на прием
Папа жалуется на боли в груди при ходьбе по лестнице. Мне 52 года. Очень беспокоюсь.,Срочное,Вызов врача
Нормально ли что ребёнок 2 года ещё не говорит словами? У меня диабет.,Консультационное,Консультация или вопрос
Слух снизился на одно ухо — нужен ЛОР срочно. Подскажите пожалуйста.,Срочное,Запись на прием
"Острый цистит — жжение нестерпимое, кровь в моче.",Срочное,Вызов врача
Хочу обсудить лечение бессонницы без снотворных. Жене 45 лет.,Консультационное,Запись на прием
Гепатит С в ремиссии — плановое наблюдение гепатолога. Мужу 68 лет.,Плановое,Наблюдение
Сахарный диабет — плановая консультация эндокринолога. Мне 35 лет.,Плановое,Наблюдение
"Передозировка — подруга выпила много таблеток, не реагирует на меня. Мужу 68 лет.",Экстренное,Перенаправление в экстренные службы
"Ребёнок подвернул ногу, плачет, наступить не может. Это опасно?",Срочное,Вызов врача
Хочу обсудить лечение бессонницы без снотворных.,Консультационное,Запись на прием
"Добрый день! Сильное кровотечение после родов, памперс намокает каждые 10 минут. Прошу помочь.",Экстренное,Перенаправление в экстренные службы
"Помогите пожалуйста. Открытый перелом ноги после аварии, кость торчит, кровотечение. Прошу помочь.",Экстренное,Перенаправление в экстренные службы
Помогите пожалуйста. Консультация ортопеда по поводу плоскостопия у ребёнка. Хронических болезней нет.,Консультационное,Запись на прием
Добрый вечер. Диабет 2 типа — плановый контроль показателей каждые 3 месяца. Подскажите пожалуйста.,Плановое,Наблюдение
Ребёнок 3 года плохо ест — это нормально или нужно к врачу? Как быть?,Консультационное,Консультация или вопрос
Хочу проконсультироваться насчёт прерывистого голодания у врача.,Консультационное,Запись на прием
"Срочно! Острый приступ подагры — нога опухла, красная, жар невыносимый.",Экстренное,Вызов врача
После химиотерапии — плановый анализ крови и осмотр. Как быть?,Плановое,Наблюдение
Плановое УЗИ органов брюшной полости — направление нужно? Хронических болезней нет.,Плановое,Запись на прием
Ребёнок на учёте у невролога — плановый осмотр раз в год. Жене 45 лет.,Плановое,Наблюдение
"Аллергия на антибиотик — сыпь по всему телу, отёк, давление падает. Это опасно?",Экстренное,Перенаправление в экстренные службы
Планирую беременность — хочу пройти обследование заранее. У меня диабет.,Плановое,Запись на прием
Срочно! Хронический панкреатит — УЗИ и консультация гастроэнтеролога. Бабушке 75.,Плановое,Наблюдение
"Острый приступ астмы, ингалятор закончился, дышу с трудом. Это опасно?",Экстренное,Вызов врача
Мониторинг МРТ головного мозга через год после лечения.,Плановое,Наблюдение
После ковида одышка и слабость — хочу провериться у пульмонолога. Что делать?,Срочное,Запись на прием
"Помогите! Нужна консультация диетолога по питанию, не срочно. Буду благодарен.",Плановое,Запись на прием
"Гипертонический криз — давление 200/110, болит голова, тошнит. Я беременна 28 недель.",Экстренное,Вызов врача
Боли в спине отдают в ногу — хочу попасть к неврологу скоро. Прошу помочь.,Срочное,Запись на прием
Помогите! Гипертония — плановый визит к кардиологу раз в квартал. Очень беспокоюсь.,Плановое,Наблюдение
"Добрый день! Ребёнок 5 лет сильно ударился головой об угол, шишка растёт.",Срочное,Вызов врача
"Мужу плохо после укуса пчелы — сыпь по всему телу, стонет. Хронических болезней нет. Прошу помочь.",Экстренное,Вызов врача
"Ребёнок не дышит, посинел, делаю искусственное дыхание, нужна помощь.",Экстренное,Перенаправление в экстренные службы
"Воспаление после удаления зуба — щека опухла, пульсирует.",Срочное,Вызов врача
Добрый вечер. Ребёнок аллергик — плановая консультация аллерголога весной.,Плановое,Наблюдение
Нужен осмотр проктолога плановый — когда есть запись? Я беременна 28 недель. Буду благодарен.,Плановое,Запись на прием
Осмотр у невролога раз в год по показаниям — запишите.,Плановое,Запись на прием
Гипертония — плановый визит к кардиологу раз в квартал. Что посоветуете?,Плановое,Наблюдение
Срочно! Давно не был у стоматолога — хочу плановый осмотр.,Плановое,Запись на прием
"Острая боль в ухе взрослого, несколько часов не проходит. Что делать?",Срочное,Вызов врача
Аутоиммунный тиреоидит — контроль ТТГ и осмотр эндокринолога. Я беременна 28 недель.,Плановое,Наблюдение
Привет! Плановый осмотр у кардиолога раз в год — запишите пожалуйста. Это опасно?,Плановое,Запись на прием
"Добрый вечер. Резкая боль в спине прихватило, не могу разогнуться.",Срочное,Вызов врача
Привет! Диабет 2 типа — плановый контроль показателей каждые 3 месяца.,Плановое,Наблюдение
